iter	Passed	Remaining
409	4328	4117
410	4337	4105
411	4346	4093
412	4355	4080
413	4364	4068
414	4371	4055
415	4381	4044
416	4390	4032
417	4399	4020
418	4407	4007
419	4415	3995
420	4425	3984
421	4433	3971
422	4443	3960
423	4450	3947
424	4459	3934
425	4467	3921
426	4476	3910
427	4484	3897
428	4498	3890
429	4510	3880
430	4519	3869
431	4529	3858
432	4540	3848
433	4551	3838
434	4562	3828
435	4571	3816
436	4581	3805
437	4592	3795
438	4600	3783
439	4610	3772
440	4620	3761
441	4632	3751
442	4644	3742
443	4655	3732
444	4664	3721
445	4675	3711
446	4684	3699
447	4693	3688
448	4704	3677
449	4713	3666
450	4725	3656
451	4734	3645
452	4743	3633
453	4752	3621
454	4760	3609
455	4770	3599
456	4778	3586
457	4788	3575
458	4796	3563
459	4805	3551
460	4813	3539
461	4821	3527
462	4829	3514
463	4838	3503
464	4845	3490
465	4854	3479
466	4862	3466
467	4870	3455
468	4882	3445
469	4891	3434
470	4902	3424
471	4910	3412
472	4919	3401
473	4929	3390
474	4937	3378
475	4946	3366
476	4954	3355
477	4965	3345
478	4976	3334
479	4989	3326
480	5003	3318
481	5013	3307
482	5023	3296
483	5033	3286
484	5044	3276
485	5053	3265
486	5065	3255
487	5074	3244
488	5085	3234
489	5101	3227
490	5109	3215
491	5118	3204
492	5128	3193
493	5143	3186
494	5154	3175
495	5165	3165
496	5178	3157
497	5188	3146
498	5196	3134
499	5205	3123
500	5214	3112
501	5237	3109
502	5261	3106
503	5276	3098
504	5292	3091
505	5313	3087
506	5332	3081
507	5341	3070
508	5350	3058
509	5358	3047
510	5366	3035
511	5381	3027
512	5395	3018
513	5406	3008
514	5414	2996
515	5426	2986
516	5434	2974
517	5443	2963
518	5451	2951
519	5459	2939
520	5465	2927
521	5475	2915
522	5482	2903
523	5495	2894
524	5505	2883
525	5512	2871
526	5521	2860
527	5529	2848
528	5538	2837
529	5546	2825
530	5554	2813
531	5562	2802
532	5571	2791
533	5578	2779
534	5587	2767
535	5594	2755
536	5602	2744
537	5609	2731
538	5616	2719
539	5623	2707
540	5629	2695
541	5637	2683
542	5643	2671
543	5651	2659
544	5658	2647
545	5667	2636
546	5673	2624
547	5681	2612
548	5688	2600
549	5696	2589
550	5703	2577
551	5710	2565
552	5717	2553
553	5723	2541
554	5730	2529
555	5738	2518
556	5746	2506
557	5752	2494
558	5759	2483
559	5766	2471
560	5773	2459
561	5781	2448
562	5788	2436
563	5795	2425
564	5803	2414
565	5811	2402
566	5818	2391
567	5825	2379
568	5831	2367
569	5838	2355
570	5845	2344
571	5852	2332
572	5859	2321
573	5866	2309
574	5873	2298
575	5880	2286
576	5887	2275
577	5895	2264
578	5902	2252
579	5910	2241
580	5917	2230
581	5925	2219
582	5933	2208
583	5940	2197
584	5947	2185
585	5955	2174
586	5962	2163
587	5969	2152
588	5977	2141
589	5984	2130
590	5992	2119
591	6000	2108
592	6008	2097
593	6015	2086
594	6023	2075
595	6030	2064
596	6039	2053
597	6046	2042
598	6056	2032
599	6064	2021
600	6072	2010
601	6078	1999
602	6085	1988
603	6092	1977
604	6099	1966
605	6107	1955
606	6113	1943
607	6121	1933
608	6128	1922
609	6135	1911
610	6143	1900
611	6151	1889
612	6158	1878
613	6165	1867
614	6173	1857
615	6180	1846
616	6189	1835
617	6196	1824
618	6205	1814
619	6212	1803
620	6220	1793
621	6227	1782
622	6234	1771
623	6241	1760
624	6249	1749
625	6257	1739
626	6266	1728
627	6273	1718
628	6282	1707
629	6290	1697
630	6299	1687
631	6306	1676
632	6316	1666
633	6325	1656
634	6333	1645
635	6340	1635
636	6349	1624
637	6357	1614
638	6365	1603
639	6372	1593
640	6379	1582
641	6386	1571
642	6394	1561
643	6402	1550
644	6409	1540
645	6417	1529
646	6423	1519
647	6431	1508
648	6439	1498
649	6450	1488
650	6457	1477
651	6465	1467
652	6472	1457
653	6480	1446
654	6487	1436
655	6495	1425
656	6503	1415
657	6511	1405
658	6519	1394
659	6527	1384
660	6535	1374
661	6544	1364
662	6552	1353
663	6559	1343
664	6566	1333
665	6573	1322
666	6582	1312
667	6591	1302
668	6598	1292
669	6605	1281
670	6613	1271
671	6619	1260
672	6626	1250
673	6633	1240
674	6640	1229
675	6647	1219
676	6654	1209
677	6661	1198
678	6667	1188
679	6674	1177
680	6680	1167
681	6686	1156
682	6693	1146
683	6699	1136
684	6706	1125
685	6712	1115
686	6719	1105
687	6726	1095
688	6732	1084
689	6740	1074
690	6748	1064
691	6755	1054
692	6761	1044
693	6768	1033
694	6775	1023
695	6782	1013
696	6790	1003
697	6796	993
698	6804	983
699	6812	973
700	6821	963
701	6828	953
702	6837	943
703	6845	933
704	6854	923
705	6862	913
706	6872	904
707	6880	894
708	6888	884
709	6895	874
710	6903	864
711	6909	854
712	6917	844
713	6925	834
714	6934	824
715	6941	814
716	6949	804
717	6956	794
718	6963	784
719	6970	774
720	6976	764
721	6983	754
722	6990	744
723	6997	734
724	7004	724
725	7011	714
726	7017	704
727	7023	694
728	7030	684
729	7037	674
730	7043	664
731	7050	654
732	7056	644
733	7062	635
734	7069	625
735	7075	615
736	7082	605
737	7089	595
738	7097	585
739	7103	575
740	7110	566
741	7117	556
742	7125	546
743	7133	536
744	7140	527
745	7150	517
746	7158	507
747	7165	498
748	7172	488
749	7179	478
750	7186	468
751	7193	459
752	7201	449
