iter	Logloss
0	0.6718376865
1	0.6579433872
2	0.6477116198
3	0.6345188164
4	0.6122047227
5	0.6008115506
6	0.5863870864
7	0.5705399475
8	0.5638276465
9	0.5492013516
10	0.5372510966
11	0.5212313501
12	0.5085325019
13	0.4990021594
14	0.487820961
15	0.4771014447
16	0.4713214451
17	0.4659853953
18	0.4543825546
19	0.4478188515
20	0.4401750647
21	0.4359603443
22	0.4282177523
23	0.4191973951
24	0.4118228934
25	0.40767889
26	0.4028531446
27	0.3950305438
28	0.3912865136
29	0.3836903207
30	0.3802214627
31	0.3753092895
32	0.3686380568
33	0.3598609889
34	0.3564994123
35	0.3523771134
36	0.3480487989
37	0.3450632566
38	0.3387753996
39	0.3356155828
40	0.3298762615
41	0.3252290111
42	0.3212418335
43	0.3158852495
44	0.3087924455
45	0.304539352
46	0.2994883691
47	0.293017655
48	0.2888085735
49	0.2844036548
50	0.2802536578
51	0.27698945
52	0.2721574984
53	0.2666578312
54	0.2636580852
55	0.2608476687
56	0.2568591967
57	0.2546777325
58	0.2521000367
59	0.2489271511
60	0.2471119508
61	0.2443965625
62	0.2414973241
63	0.2386357317
64	0.2354408579
65	0.2326394317
66	0.2308366441
67	0.228263009
68	0.2258359327
69	0.2235461055
70	0.2212558173
71	0.2181074202
72	0.2136639866
73	0.2118335186
74	0.2093446979
75	0.2078002367
76	0.2064435621
77	0.2036664826
78	0.2029024621
79	0.2008097489
80	0.199361043
81	0.1973172004
82	0.1956776932
83	0.1942074601
84	0.1927191043
85	0.1905520921
86	0.1890541254
87	0.1865929318
88	0.1853712899
89	0.1842019587
90	0.1828175861
91	0.1818294097
92	0.180658057
93	0.1788486729
94	0.1777555736
95	0.1764660164
96	0.1750121857
97	0.1730761742
98	0.1714391851
99	0.1683284694
100	0.1671656106
101	0.1665279871
102	0.1657151491
103	0.1638169432
104	0.1626924929
105	0.1618775802
106	0.1609083066
107	0.1590454237
108	0.1577469294
109	0.157029492
110	0.1562806505
111	0.1556244611
112	0.1540255081
113	0.1531187413
114	0.1519143354
115	0.1508513457
116	0.1497434575
117	0.1489214519
118	0.1481270912
119	0.1476049236
120	0.1463028119
121	0.1447167326
122	0.1440708634
123	0.1425870649
124	0.141577379
125	0.1409145577
126	0.1396146092
127	0.1384724974
128	0.1371782145
129	0.1367087035
130	0.1360850176
131	0.135353084
132	0.1348643865
133	0.1345098792
134	0.134484309
135	0.1336361126
136	0.1322216125
137	0.1317864049
138	0.1308511244
139	0.1301566506
140	0.1294626113
141	0.1287549445
142	0.1280121409
143	0.1269529105
144	0.1265066556
145	0.1258453592
146	0.1253778608
147	0.1247780961
148	0.1241469271
149	0.1236595241
150	0.1228219139
151	0.1225944686
152	0.121748205
153	0.1213823845
154	0.1208453749
155	0.12036041
156	0.1200015229
157	0.1194015187
158	0.1191037997
159	0.1182134532
160	0.1177141428
161	0.117458033
162	0.1170434393
163	0.1165434817
164	0.1159910714
165	0.1153843821
166	0.1148443403
167	0.1144634028
168	0.1140200472
169	0.1133932936
170	0.1130472625
171	0.1125641241
172	0.1122829761
173	0.1120082472
174	0.1117233044
175	0.1111241602
176	0.110586264
177	0.1101306197
178	0.109460732
179	0.1091951353
180	0.108576716
181	0.1083661165
182	0.1079445984
183	0.1074545088
184	0.1070535603
185	0.106608192
186	0.1064418793
187	0.1059980981
188	0.1054161722
189	0.1049665835
190	0.1046004439
191	0.1042804174
192	0.1041373165
193	0.1038284615
194	0.103379724
195	0.1032224638
196	0.1030152867
197	0.1027552048
198	0.1024955573
199	0.1020572731
200	0.1018632446
201	0.1016158592
202	0.1014261219
203	0.101163788
204	0.1010131685
205	0.1007875408
206	0.1004891214
207	0.1002818024
208	0.100038788
209	0.09985704805
210	0.09967708139
211	0.09944696734
212	0.09922295326
213	0.09886897802
214	0.09848625848
215	0.09788839109
216	0.09751426292
217	0.09732644078
218	0.09699270714
219	0.09685692974
220	0.0967381755
221	0.09654770236
222	0.09636426013
223	0.0961773512
224	0.09585711196
225	0.09567682611
226	0.09542201076
227	0.09518752566
228	0.09482060573
229	0.09452530719
230	0.0944242854
231	0.09413883724
232	0.0940394025
233	0.09387398531
234	0.09350953907
235	0.09318343925
236	0.09303168492
237	0.0928760649
238	0.09275563495
239	0.09260592871
240	0.09226369236
241	0.09204033438
242	0.09194725673
243	0.09184093294
244	0.0917451245
245	0.09165981366
246	0.091555006
247	0.09145079237
248	0.09116250701
249	0.09095510824
250	0.09079077273
251	0.09058316116
252	0.09051787914
253	0.0903762323
254	0.0902795195
255	0.09010504989
256	0.08992640429
257	0.08987071552
258	0.08970027118
259	0.08951216531
260	0.08938619397
261	0.08908903351
262	0.08887384133
263	0.08861839647
264	0.08850996252
265	0.08831068521
266	0.08813499206
267	0.08797456656
268	0.0878412717
269	0.08772661366
270	0.08751633336
271	0.08742471864
272	0.08721043968
273	0.08699653309
274	0.08687878074
275	0.08668422912
276	0.0864342902
277	0.08623401987
278	0.08607841759
279	0.08594735703
280	0.08584814395
281	0.08564645503
282	0.08544325884
283	0.08517422206
284	0.08500208427
285	0.08477355728
286	0.08470179404
287	0.08457615961
288	0.08440517443
289	0.0843259281
290	0.08419158703
291	0.08401422703
292	0.08382126247
293	0.08372789224
